Tweet,label
１月 ４日 上午 ， 甘肃 会宁 二中 一 名 高三 年级 男生 在校 园内 持 刀 疯狂 追 砍 一 名 女生 ， 导致 两 名 学生 严重 受伤 ， 两 名 学生 轻微 受伤 。,0|0|0|0|1|1|0|0
据 了解 ， 行凶 男生 动机 可能 与 向 女 同学 示爱 被 拒 有关 。,0|0|0|0|1|0|0|0
（ 中新网 １月 ６日 ）,0|0|0|0|0|0|0|0
如今 的 孩子 们 ， 生活 在 安逸 的 年代 ， 十几 岁 的 年龄 就 开始 动情 ， 谈 个 恋爱 也 开始 追求 轰轰烈烈 。,0|0|0|0|1|0|0|0
话 说 甘肃 会宁 二中 的 这 名 高三 男生 因为 自己 喜欢 的 女孩 拒绝 了 自己 以后 就 在 一手 制造 了 这 起 校园 血腥 事件 。,0|0|0|0|1|0|0|0
不得不 感叹 ， 这 孩子 太 经不起 爱情 的 折磨 了 ， 天下 何处 无 芳草 ， 为何 偏偏 认 准 了 一个 女孩 不 回头 呢 。,0|0|0|1|1|0|0|0
大烟 枪 坚信 ， 这 不 是 爱情 ， 手持 十几 厘米 的 大刀 在校 园 这 片 纯净 的 土地 上 挥舞 亦 绝不 是 英雄 男儿 。,0|0|0|0|1|0|0|0
天下 女子 何其 多 ， 更何况 这 位 男生 只 有 １９ 岁 ， 多少 美 少女 在 前方 ， 又 有 多少 光明 大道 在 等待 。,0|0|0|0|1|0|0|0
这 件 事情 其实 很 简单 ， 一句话 概括 为 某 校园 男 向 同窗 示爱 遭 拒 后 上演 校园 血腥 事件 。,0|0|0|0|1|0|0|0
但是 透过 这 件 事情 ， 我们 的 学校 、 家长 、 个人 和 社会 团体 应该 看到 事情 的 本质 其实 是 暴力 文化 侵蚀 青少年 文化 的 结果 。,0|0|0|1|1|0|0|0
时下 ， 不少 网络 游戏 吸引 了 青少年 玩耍 。,0|0|0|0|0|0|0|0
其中 的 情节 ， 从 一个 动作 到 一个 细微 的 表情 恐怕 都 有人 能 模仿 出来 。,0|0|0|0|1|0|0|0
长期 沉溺 与 游戏 情节 中 ， 会 把 社会 误认为 是 一个 虚拟 框架 ， 没有 较 深 的 顾虑 。,0|0|0|0|1|0|0|0
其次 ， 这也 为 正在 进行 的 净化 网络 文化 的 行动 的 展开 更 有 促进 作用 ， 因为 互联网 众多 低俗 内容 也 是 刺激 青少年 成长 的 一个 重要 因素 。,0|1|0|0|1|0|0|0
无论 是 在 文字 上 ， 还是 在 图片 和 视频 上 ， 不少 互联网 的 信息 过于 成人化 ， 青少年 无法 进行 较 好 的 自我 辨别 和 自我 控制 ， 最终 的 结果 是 处于 成长 阶段 的 他们 具有 极为 成熟 的 模仿 倾向 ， 直至 产生 不良 后果 。,0|0|0|0|1|0|0|0
再次 ， 在 青少年 接受 教育 的 过程 中 ， 忽视 了 社会 环境 教育 和 开展 自我 教育 。,0|0|0|0|1|0|0|0
学校 不仅仅 是 一个 学习 理论 知识 的 殿堂 ， 更 应该 是 一个 指引 青少年 正确 成长 的 风向标 。,0|0|1|0|0|0|0|1
